Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Test Accuracy,Test loss
1,2.1116690034654404,0.24806666666666666,1.8060519290924073,0.3826,0.388,1.793109656906128
2,1.902425999153985,0.3483111111111111,1.6624397125244141,0.4612,0.467,1.651554313468933
3,1.796682164891561,0.3943333333333333,1.5163522438049317,0.5216,0.533,1.5099877658843994
4,1.6966111777411568,0.44735555555555556,1.444861051940918,0.554,0.5667,1.442715640258789
5,1.602253289159139,0.49904444444444446,1.3353987815856934,0.6214,0.6216,1.3459152603149414
6,1.505231053797404,0.5457777777777778,1.3018606704711915,0.6506,0.6466,1.3054677730560302
7,1.428358717113071,0.5862888888888889,1.1939727695465088,0.694,0.6949,1.1993442317962646
8,1.378364071867201,0.6111333333333333,1.170995869064331,0.7114,0.7154,1.1727063009262084
9,1.3342091478559706,0.6341111111111111,1.141605531024933,0.7232,0.725,1.1445451030731202
10,1.2998965850618152,0.6519333333333334,1.1053387628555298,0.7406,0.7413,1.1169479118347168
11,1.2683661668141684,0.6684666666666667,1.0851975500106812,0.7568,0.7551,1.0918611093521118
12,1.2439563404083251,0.6802,1.0509912523269653,0.7746,0.761,1.0726003721237183
13,1.2233557442559135,0.6909111111111111,1.0013231165885925,0.7914,0.7942,1.0128477226257324
14,1.193351581509908,0.7044222222222222,1.0014413949012757,0.791,0.7901,1.0155316131591796
15,1.1774208689371746,0.7117333333333333,0.9996026385307312,0.789,0.7921,1.009394764137268
16,1.1525503178066678,0.7233777777777778,0.957633453464508,0.811,0.8115,0.969084765625
17,1.1340055736117893,0.7317333333333333,0.9629293646812439,0.8084,0.8057,0.9748383937835693
18,1.1168578878826565,0.7395555555555555,0.9362159870147705,0.8218,0.8199,0.9520160448074341
19,1.1020640701082018,0.7489555555555556,0.9204009515762329,0.8252,0.8262,0.9348721687316894
20,1.0943249484592015,0.7493333333333333,0.9190482299804688,0.8276,0.8222,0.9405382343292237
21,1.0719190862019856,0.7614222222222222,0.9047370741844177,0.8366,0.8299,0.9185290981292724
22,1.0676410881466336,0.7649111111111111,0.8947041409492492,0.841,0.84,0.9052858658790588
23,1.0503562986585828,0.7716666666666666,0.8927954375267029,0.8416,0.8406,0.9056438962936402
24,1.040954734632704,0.7769333333333334,0.8727831831932068,0.8514,0.8504,0.8833851033210754
25,1.0273821134673224,0.7822,0.8605557168960571,0.8568,0.8499,0.8776400204658509
26,1.0154957022772895,0.7853111111111111,0.8480647630691528,0.8578,0.856,0.863663551902771
27,1.0045558267381456,0.7923111111111111,0.8474195407867432,0.862,0.8563,0.861393932723999
28,0.9935895112355551,0.7961333333333334,0.8414442376136779,0.8624,0.8588,0.8564347629547119
29,0.9828697569423251,0.8012888888888889,0.8220493597984314,0.874,0.8673,0.8353745964050293
30,0.9712588506910536,0.8083333333333333,0.8195600981712341,0.8732,0.8673,0.8321103828430175
31,0.9597216588126288,0.8134444444444444,0.8083163044929504,0.8774,0.8683,0.8260957454681397
32,0.953437809838189,0.8167111111111112,0.8028812614440918,0.8792,0.8761,0.8189755716323852
33,0.9384214657253689,0.8230222222222222,0.8008895266532898,0.8814,0.8741,0.815887949180603
34,0.9283282303174337,0.8270888888888889,0.7985829022407531,0.8848,0.8776,0.8117937965393066
35,0.9202209714571635,0.8306888888888889,0.7902457601547241,0.8818,0.881,0.8028966480255127
36,0.9114434499316746,0.8351111111111111,0.7827167269706726,0.889,0.8824,0.7958320241928101
37,0.899602768919203,0.8415777777777778,0.7749713450431823,0.8896,0.8876,0.7873148635864258
38,0.8921928146998087,0.8450666666666666,0.7717460201263427,0.8932,0.8902,0.7839090133666993
39,0.8801997930738661,0.8491111111111111,0.7683641414642334,0.8966,0.8937,0.7747541240692138
40,0.8701035938051012,0.8532,0.7633010618209839,0.8926,0.8938,0.77123903799057
41,0.8623615965313381,0.8569333333333333,0.7607388272285461,0.8944,0.8927,0.7703305154800415
42,0.8561099173333909,0.8582222222222222,0.7564173180580139,0.8976,0.8956,0.7679357290267944
43,0.8507999295976427,0.8609777777777777,0.7526408783912659,0.8982,0.8977,0.7630738639831542
44,0.8457476309458415,0.8644666666666667,0.7532161960601806,0.8976,0.8964,0.7625477232933044
45,0.8396915027512445,0.8672,0.7523662881851196,0.8988,0.8977,0.7625436990737915
46,0.8356087830013699,0.8689111111111111,0.7499359501838684,0.9004,0.8992,0.759887165260315
47,0.834696800020006,0.8691333333333333,0.7494801475524903,0.9016,0.8992,0.7597060493469239
48,0.8347029235521952,0.8666666666666667,0.7480781144142151,0.9026,0.9006,0.7577785116195679
49,0.8286127349323696,0.8709777777777777,0.7458926824569703,0.9008,0.9002,0.7554372550964356
50,0.831447659365336,0.8704222222222222,0.7467843108177185,0.9012,0.9004,0.7561503324508667
