Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.3869025797314114,0.5051333333333333,1.1149628341674804,0.6092
2,1.004846718618605,0.6470888888888889,0.9465840475082398,0.6622
3,0.8513555924627516,0.7038,0.8915345962524414,0.6884
4,0.7344640842649672,0.7432222222222222,0.8313288497924805,0.709
5,0.6438362428241305,0.7751555555555556,0.8145861379623414,0.721
6,0.561886777528127,0.8041777777777778,0.825480074262619,0.7254
7,0.4846668041653103,0.8312444444444445,0.8808233500480652,0.715
8,0.40748222287495933,0.8583333333333333,0.8946195823669434,0.7244
9,0.33184393490685354,0.8850222222222223,0.9354986494064331,0.7224
10,0.2719580841753218,0.9062888888888889,1.027868211555481,0.7178
11,0.21608396032651264,0.9253555555555556,1.1000368775844573,0.72
12,0.17133244937260947,0.9415777777777777,1.2515811744689942,0.71
13,0.13087882572809856,0.9566444444444444,1.3225720560073853,0.7234
14,0.1001073126051161,0.9678,1.393220600795746,0.711
15,0.09035659167104297,0.9700666666666666,1.4921986936569214,0.7116
16,0.08632407643530104,0.9711555555555555,1.6315787036895752,0.7008
17,0.07509904290305243,0.9746222222222222,1.7418274627685546,0.7036
18,0.07477429538302952,0.9739111111111111,1.8004309127807616,0.7058
19,0.05508382308996386,0.9824222222222222,1.8193530152320863,0.7076
20,0.0655155952586068,0.9773111111111111,1.9637255758285523,0.7084
